review_id,publish_date,rating,company_size,job_title,full_content,is_ai_relevant
10670472,2024-12-19T00:00:00,4.5,Small-Business(50 or fewer emp.),Customer Support Manager,"What do you like best about Intercom?
The product itself is intuitive and robust and the investment the company has put into its AI offering has really paid off. We've seen a massive improvement in the AI chatbot's answers which are now deflecting around 50% of our conversations and allowing our team to work on more complex issues. The tool integrates with a ton of other products and serves most of the needs we have at the moment. The Customer Support team, as well as our Relationship Manager, are excellent and always super helpful.

What do you dislike about Intercom?
It's not great for small companies that have multiple products. We are a small support team that wants to be able to support two different customer bases using two different products on different domains in the same workspace, but we currently have to manage two workspaces for the same team. It's also pricey compared to other help desk software, especially since each add on tends be an additional cost. The pricing model is also not great for our business model as far as using the tool for multiple departments (Support, Marketing, and Sales)—if we used it for all three, we would blow out our budget in one of those departments since we have to choose either active users or people reached to be billed for. Because of that, we had to reduce the amount of outbound contacts we were making with Intercom and focus on using it solely as a Support tool.

What problems is Intercom solving and how is that benefiting you?
Intercom's investment in improving automation—both to handle customer conversations and to make support processes less manual—is solving operational inefficiencies and making it so that we can help more customers as our company grows without having to hire more people to the Support team.",True
10660491,2024-12-17T00:00:00,5.0,Mid-Market(51-1000 emp.),Customer support agent,"What do you like best about Intercom?
For me, the most beneficial feature is the easy way that I can create emails and chats to the different areas and people that I am constantly responsible for assisting. I work 5 days a week and have different interactions with customers every day, but this tool just makes it easier for me to provide good customer support, make it clear, and also for them to understand our way of communicating via emails or chats.

What do you dislike about Intercom?
Perhaps one of the things that could be a problem for me is just the double chats and emails that I'm getting all the time, but at this point, I know how to deal with them and integrate them into the new ones with the clients and how professional I have to be, apply the knowledge that I have and provide the best for those situations.

What problems is Intercom solving and how is that benefiting you?
It is an easy way to communicate and resolve any questions or doubts that we constantly get from our customers. It helps me to let them know all the details about it, for anything they need, or also to send documentation most easily.",True
10656024,2024-12-17T00:00:00,4.5,Mid-Market(51-1000 emp.),Director of Support,"What do you like best about Intercom?
We are a business inteligence company and have been using Intercom for 7 years for B2B. And we love it! Especially in the last few years, Intercom has proven over and over again that they are a leader in taking advantage of tech innovations and using it to launch new features. The turnaround time is fast which allows them to be ahead of their competition.

What I like about the tool the most:
1. Good UX that's easy to use by our reps
2. Lots of important features that every CS team needs like workflows, views, AI copilot, reports, API for building more custom reports, managers having a clear overview of all queues and rep statuses
3. AI Chatbot (Fin) which, after it's well set up, adds real value to the day to day work and saves a ton of time that reps can then invest in other more impactful areas.
4. Lots of options to customize the messenger popup, AI bot handoff steps, etc..

What do you dislike about Intercom?
When pushing custom properties into Intercom (like company or contact data), things can get messy really fast. When editing workflows, chat campaigns, or rules, there's no indicator if the selected property is a company or contact property, or any other type of property. This makes it very time consuming to set up and maintain automations and workflows. It also makes it harder to handoff admin responsibilities to another rep at the company.

Whenever I asked for practical insight into how to set up workflows or the AI bot, the only resources I got access to were case studies or blog posts which don't talk about any specific ways how to set up e.g. the handoff sequence of Finbot. I'd love to learn more about how other companies solve some of the challenges we have, or have Intercom walk me through the setup. I eventually figured everything out but it'd help to have more guidance during the first steps of adoption.

What problems is Intercom solving and how is that benefiting you?
Offering live assistance to our to help them adopt the product faster (it helps us fill the gaps in areas where PLG isn't working yet)",True
10640835,2024-12-12T00:00:00,5.0,Mid-Market(51-1000 emp.),Director of Clinician Support,"What do you like best about Intercom?
The chat modality has been a game changer for our business, allowing us to provide near-instant support where previously we had been spread across multiple channels. We have been able to integrate several channels/apps that we use, which additionally helps with triaging feedback and customer concerns. The team orients to it quickly, and are able to move within it without too much confusion. We use it all day, every day, and it has been a game changer for our org.

What do you dislike about Intercom?
There are some data limitations that affect us; it would be great if they could make that side of things more robust.

What problems is Intercom solving and how is that benefiting you?
It used to take a solid amount of time to respond to issues that our users were having, because the team was spread so thin across so many platforms, and it was impossible to actually engage with each of those platforms completely. With Intercom, our turnaround time for providing support is MINUTES. It benefits both our team, and our customers, so we can continue to grow and provide the exceptional level of support we have been.",True
10590459,2024-12-02T00:00:00,4.0,Mid-Market(51-1000 emp.),Head of Implementation & Support,"What do you like best about Intercom?
Outbound tooling that allows for direct 'in-context' communication. The possibilities to give your customer the context/support they need at the point where they need it, allows for a smooth and effortless experience for your end-user. In combination with the omni-support channels, I think it is a very complete product.

What do you dislike about Intercom?
The combination of conversation and tickets is a bit strange, as they both seem to leverage the same underlying object. This causes some strange behavior at times in applying automations regarding SLAs or conversions. In the end this impacts in gaining proper insights in how we have performed.

What problems is Intercom solving and how is that benefiting you?
A quick and direct way to communicate with our userbase. The barrier of reaching out to our users and getting proper responses have dropped significantly. In the end the conversational support model is adopted for our support services. Even though we're setting everything up around chatbots and AI, we know we can scale with Intercom and allow for in-context support and communication.",True
10561743,2024-11-25T00:00:00,5.0,Small-Business(50 or fewer emp.),Senior Academic Operations Manager,"What do you like best about Intercom?
The AI components within Intercom are awesome. The AI Agent has saved my teams tons of time on inquiries. We thouroughly enjoy watching Fin work its magic answering our common questions!!

I love that Fin gains its knowledge from all of ours assets - Custom Answers, highly rated conversations, Articles, and Snippets, and that Intercom has created a Knowledge Hub where we can organize all of these for easy updating and creation!

What do you dislike about Intercom?
They've been working on reporting and metrics, which is great. They could use a little more work so you can have more customization on what you want to view.

Intercom's own customer support has gotten better as well but it can still take a while to hear back or get help. Sometimes the support people seem to need to get additional support or questions answered before they get back to you.

What problems is Intercom solving and how is that benefiting you?
Intercom is improving customer support for all users. My company has recently moved one of our teams off of Front and into Intercom because of the success our teams using Intercom have had. Intercom is a great platform for automation and teams to collab on conversations.",True
10545848,2024-11-21T00:00:00,5.0,Mid-Market(51-1000 emp.),Agent,"What do you like best about Intercom?
Every important matter is highligthed, you receive a lot of updates,a nd notifications about it, and also everything can be toggled to be seen or hided.

I use the app evey day, and 1 to 2 times a week, I receive either updates, advices, and paths to learn how easy the tasks are when you use intercom.

Also, the support that the app gives you in the chat is very high, ver effective, and very fast.

What do you dislike about Intercom?
I dislike that sometimes, the app overloads with information and starts to run slowly, and you can either wait until crashes, or you can refresh it for a temporal solution. Sometimes, the app needs you to restart the pc in order to start working good again.

I don't like that some of the vital points of the app are not very well integrated, or related between them (Things like datapoints, and quick links) and sometimes, the relation between those is outdated, and creates an issue in the information.

What problems is Intercom solving and how is that benefiting you?
Payment processes, repayment processes, tech support, and customer support.",True
10551780,2024-11-22T00:00:00,5.0,Mid-Market(51-1000 emp.),Support agent,"What do you like best about Intercom?
Intercom allows us to manage both reactive and proactive support, set automations to provide customer support in context, and make the best of our resources.
Implementation and onboarding of the team was a breeze, and we continue to learn its features with Intercom Community and Academy.

What do you dislike about Intercom?
While Intercom gives a great solution to house our help center, formatting and editing are not very flexible, so we feel we're constricted in terms of fonts, images, and interactive elements.
Additionally, we've had some issues with integrations mainly with Salesforce and Client success.

What problems is Intercom solving and how is that benefiting you?
As our company grew, we started to see that reactive support was not enough. We needed to be able to lead our customers in-app, even when they didn't know they needed guidance. In this way, we've managed to give customers autonomy in learning and using our product, thus reducing recurring questions for both our support and customer success teams.",True
10454425,2024-11-05T00:00:00,5.0,Small-Business(50 or fewer emp.),Head of Marketing,"What do you like best about Intercom?
Intercom has saved me an outrageous amount of time over the last two months. As a sole marketer (who also handles the whole communication flywheel), Intercom Series have been a gamechanger for me. I have built email and chat flows across our whole sales funnel, from trial signup and activation to customer onboarding and review campaigns.

Series are super easy to setup (from product events triggering automated outreach to email actions opening up automated email flows).

Intercom integrates with all of the tools in our tech stack and with our product really easily.

What do you dislike about Intercom?
The only downside to using Intercom is that I don't have a team around me helping with activation and customer onboarding. I don't think I've saved more time with any other tool (besides ChatGPT).

What problems is Intercom solving and how is that benefiting you?
Intercom takes over the role of founder, marketer, salesperson and customer support in all of our automated series and through the chatbot. I've created onboarding workflows, product feature guides, activation checklists, you name it.",True
10525763,2024-11-18T00:00:00,5.0,Small-Business(50 or fewer emp.),Customer Success Specialist,"What do you like best about Intercom?
Intercom took every main need Customer Support teams need to executure the best job for our customers and turned it into a high quality, multi-functional use for CS teams- and did so while making it the most user-friendly application. Our team has used other *big name apps I won't mention* and we all have agreed Intercom is the BEAST of these. Not only does Intercom hardly lack featues, they consistantly listen to the needs of teams and work accordingly. I don't ever see us not having Intercom in our journey.

What do you dislike about Intercom?
There really are no dislikes about Intercom. Is there features they lack? I mean, yea. Just lik every other app in this world. With Intercom, you can count on your voice being heard and your needs deeply considered.

What problems is Intercom solving and how is that benefiting you?
The ease of customization to fit our business and the customers' needs within it.",True
